TableName,BuildingName,EnergyType,ReportInterval,EnergyUnit
UWEC_LIBSOL_KW,library,electric,15,kw
UWEC_DSC_SOLAR_ENERGYRATE,davies,solar,15,kw
UWEC_CAMPUS_MAIN_KW,campus,electric,15,kw
UWEC_BRIDGMAN_KW,bridgman,kw,15,kw
UWEC_CENTENNIAL_HALL_KW,centennial,electric,15,kw
UWEC_CHANCELLORS_KW,chancellors,electric,15,kw
UWEC_CHANCELLORS_CHILLER_KW,chancellors,chiller,15,kw
UWEC_CREST_COMMONS_KW,crest,electric,15,kw
UWEC_DAVIES_KW,davies,electric,15,kw
UWEC_GOVERNORS_KW,governors,electric,15,kw
UWEC_HEATING_PLANT_KW,heating_plant,electric,15,kw
UWEC_HFA_NORTH_KW,haas_north,electric,15,kw
UWEC_HFA_SOUTH_KW,haas_south,electric,15,kw
UWEC_HIBBARD_KW,hibbard,electric,15,kw
UWEC_HILLTOP_KW,hilltop,electric,15,kw
UWEC_HILLTOP_CHILLER_KW,hilltop,chiller,15,kw
UWEC_HORAN_KW,horan,electric,15,kw
UWEC_HSS_KW,human_sci,electric,15,kw
UWEC_LIBRARY_BLDG_ONLY_KW,library,electric,15,kw
UWEC_LIBRARY_CHILLER_KW,library,chiller,15,kw
UWEC_MAINT_BLDG_KW,maintenance,electric,15,kw
UWEC_MCPHEE_KW,mcphee,electric,15,kw
UWEC_MURRAY_KW,murray,electric,15,kw
UWEC_NURSING_KW,nursing,electric,15,kw
UWEC_OAK_RIDGE_KW,oak_ridge,electric,15,kw
UWEC_PHILLIPS_NORTH_KW,phillips_north,electric,15,kw
UWEC_PHILLIPS_SOUTH_KW,phillips_south,electric,15,kw
UWEC_PUTNAM_KW,putnam,electric,15,kw
UWEC_SCHNEIDER_KW,schneider,electric,15,kw
UWEC_SCHOFIELD_KW,schofield,electric,15,kw
UWEC_SUITES_ELMTR_KW,suites,flag,0,kw
UWEC_SUTHERLAND_KW,sutherland,electric,15,kw
UWEC_THOMAS_KW,kt,electric,15,kw
UWEC_THS_ELMTR_KW,towers_south,flag,0,kw
UWEC_THN_ELMTR_KW,towers_north,flag,0,kw
UWEC_ZORN_KW,zorn,electric,15,kw
SCHNEIDER_HALL_LIBRARYSOLAR_KWH,library,solar,24,kwh
